cityId	cityName	latitude	longitude	population	countryCode	continent
3862351	Casilda	-33.04417	-61.16806	32002	AR	America/Argentina/Cordoba
3862655	Carcarañá	-32.85679	-61.15331	15619	AR	America/Argentina/Cordoba
3862738	Capitán Bermúdez	-32.82262	-60.71852	27060	AR	America/Argentina/Cordoba
3862981	Cañada de Gómez	-32.81636	-61.39493	36000	AR	America/Argentina/Cordoba
3863379	Caleta Olivia	-46.43929	-67.52814	36077	AR	America/Argentina/Rio_Gallegos
3864331	Bell Ville	-32.62591	-62.68873	35105	AR	America/Argentina/Cordoba
3864375	Bella Vista	-27.03424	-65.30196	15126	AR	America/Argentina/Tucuman
3865086	Bahía Blanca	-38.71959	-62.27243	276546	AR	America/Argentina/Buenos_Aires
3865385	Arroyo Seco	-33.15489	-60.50863	20008	AR	America/Argentina/Cordoba
3865424	Arroyito	-31.42022	-63.05002	19577	AR	America/Argentina/Cordoba
3865840	Añatuya	-28.46064	-62.83472	20261	AR	America/Argentina/Cordoba
3866163	Alta Gracia	-31.65292	-64.42826	40384	AR	America/Argentina/Cordoba
3866242	Allen	-38.97736	-67.82714	26083	AR	America/Argentina/Salta
3866367	Alderetes	-26.81667	-65.13333	38466	AR	America/Argentina/Tucuman
3866425	Albardón	-31.43722	-68.52556	20413	AR	America/Argentina/San_Juan
3866496	Aguilares	-27.4338	-65.61427	32494	AR	America/Argentina/Tucuman
6693228	Balvanera	-34.61032	-58.39766	152198	AR	America/Argentina/Buenos_Aires
6693230	Villa Santa Rita	-34.61082	-58.481	34000	AR	America/Argentina/Buenos_Aires
7116866	Villa Mercedes	-33.67571	-65.45783	96781	AR	America/Argentina/San_Luis
7647007	San Carlos de Bariloche	-41.14557	-71.30822	95394	AR	America/Argentina/Salta
10172104	Adrogué	-34.80041	-58.38384	28265	AR	America/Argentina/Buenos_Aires
5881576	Pago Pago	-14.27806	-170.7025	11500	AS	Pacific/Pago_Pago
2761164	Wilten	47.25829	11.38808	18142	AT	Europe/Vienna
2761353	Wiener Neustadt	47.80485	16.23196	44820	AT	Europe/Vienna
